label,provenance,count
murder,real,915
weapon_sharp,real,244
location_public_space,real,197
planning_premeditation,real,174
weapon_firearm,real,157
diminished_responsibility,real,100
assault_method_stabbing,real,96
assault_method_shooting,real,89
accessory_or_complicity,real,88
actus_reus_killing,real,77
weapon_present,real,67
self_defence_legal,real,66
confession_or_admission,real,60
mens_rea_intent_to_kill,real,46
causation,real,34
joint_enterprise_presence,real,32
motive_financial_gain,real,30
encounter,real,26
loss_of_control,real,23
unlawful_killing,real,21
motive_jealousy_revenge,real,20
strangulation,real,19
assault_method_blunt_force,real,19
weapon_petrol_fire,real,11
defendant_intoxicated,real,10
abduction,real,9
alibi_claim,real,9
wound_sharp_force,real,8
prior_conflict,real,7
flight_after_offence,real,7
location_private_dwelling,real,7
poisoning,real,6
weapon_blunt,real,6
victim_intoxicated,real,6
lawful_killing_self_defence,real,4
injury_defensive_wounds,real,3
prior_threats,real,3
prior_assault,real,3
manslaughter_unlawful_act,real,2
time_of_death_window_narrow,real,1
tied_restraint,real,1
search_history_weapons_or_poison,real,1
confession_third_party,real,1
cctv_presence,real,1
withdrawal_effective,real,1
wound_blunt_force,real,1
