label,total_occurrences,cases_with,pct_cases
murder,1172,160,97.0
confession_or_admission,225,60,36.4
location_public_space,223,57,34.5
actus_reus_killing,125,47,28.5
weapon_firearm,367,36,21.8
assault_method_shooting,280,29,17.6
weapon_sharp,197,27,16.4
joint_enterprise_presence,51,25,15.2
planning_premeditation,107,25,15.2
diminished_responsibility,162,25,15.2
accessory_or_complicity,103,24,14.5
weapon_present,61,20,12.1
assault_method_stabbing,60,17,10.3
encounter,28,15,9.1
assault_method_blunt_force,30,15,9.1
alibi_claim,109,15,9.1
self_defence_legal,138,12,7.3
mens_rea_intent_to_kill,35,11,6.7
location_private_dwelling,16,11,6.7
defendant_intoxicated,65,11,6.7
motive_jealousy_revenge,14,10,6.1
unlawful_killing,19,10,6.1
wound_sharp_force,15,9,5.5
strangulation,20,7,4.2
causation,42,7,4.2
abduction,12,6,3.6
insanity,51,6,3.6
tied_restraint,4,4,2.4
weapon_blunt,7,4,2.4
prior_threats,3,3,1.8
boasting_admissions,3,3,1.8
weapon_petrol_fire,9,3,1.8
loss_of_control,34,3,1.8
lawful_killing_self_defence,4,3,1.8
prior_conflict,4,2,1.2
inconsistent_statements,2,2,1.2
manslaughter_unlawful_act,2,2,1.2
flight_after_offence,4,2,1.2
poisoning,7,2,1.2
injury_defensive_wounds,1,1,0.6
gunshot_residue_gsr,4,1,0.6
victim_intoxicated,1,1,0.6
prior_assault,1,1,0.6
financial_transactions_gain,2,1,0.6
withdrawal_effective,1,1,0.6
motive_financial_gain,2,1,0.6
