case_id,num_nodes,num_unique_labels,num_edges,num_label_edges,labels_present_pct,num_missing_labels,total_template_edges,present_template_edges,missing_template_edges
CASE_00006,43,6,1806,34,8.0,69,1230,34,1196
CASE_00007,47,10,2162,95,13.3,65,1230,95,1135
CASE_00019,2,1,2,1,1.3,74,1230,1,1229
CASE_00045,18,6,306,32,8.0,69,1230,32,1198
CASE_00061,133,17,17556,285,22.7,58,1230,285,945
CASE_00108,81,7,6480,47,9.3,68,1230,47,1183
CASE_00114,180,14,32220,194,18.7,61,1230,194,1036
CASE_00116,90,14,8010,192,18.7,61,1230,192,1038
CASE_00133,26,8,650,58,10.7,67,1230,58,1172
CASE_00144,49,9,2352,76,12.0,66,1230,76,1154
CASE_00156,97,15,9312,223,20.0,60,1230,223,1007
CASE_00158,48,8,2256,62,10.7,67,1230,62,1168
CASE_00191,12,4,132,14,5.3,71,1230,14,1216
CASE_00193,11,5,110,22,6.7,70,1230,22,1208
CASE_00203,27,10,702,96,13.3,65,1230,96,1134
CASE_00216,85,12,7140,140,16.0,63,1230,140,1090
CASE_00225,59,14,3422,190,18.7,61,1230,190,1040
CASE_00232,49,12,2352,139,16.0,63,1230,139,1091
CASE_00270,94,10,8742,98,13.3,65,1230,98,1132
CASE_00302,30,10,870,96,13.3,65,1230,96,1134
CASE_00303,25,8,600,60,10.7,67,1230,60,1170
CASE_00313,42,13,1722,164,17.3,62,1230,164,1066
CASE_00316,119,13,14042,165,17.3,62,1230,165,1065
CASE_00319,2,1,2,1,1.3,74,1230,1,1229
CASE_00323,69,16,4692,250,21.3,59,1230,250,980
CASE_00342,2,1,2,1,1.3,74,1230,1,1229
CASE_00368,38,6,1406,33,8.0,69,1230,33,1197
CASE_00370,6,3,30,8,4.0,72,1230,8,1222
CASE_00381,2,2,2,2,2.7,73,1230,2,1228
CASE_00392,288,14,82656,193,18.7,61,1230,193,1037
CASE_00393,37,9,1332,77,12.0,66,1230,77,1153
CASE_00417,126,14,15750,191,18.7,61,1230,191,1039
CASE_00421,34,8,1122,63,10.7,67,1230,63,1167
CASE_00437,2,1,2,1,1.3,74,1230,1,1229
CASE_00466,16,6,240,34,8.0,69,1230,34,1196
CASE_00472,10,7,90,44,9.3,68,1230,44,1186
CASE_00480,54,11,2862,116,14.7,64,1230,116,1114
CASE_00486,9,5,72,23,6.7,70,1230,23,1207
CASE_00517,71,14,4970,191,18.7,61,1230,191,1039
CASE_00519,22,7,462,44,9.3,68,1230,44,1186
CASE_00532,7,3,42,8,4.0,72,1230,8,1222
CASE_00537,96,9,9120,78,12.0,66,1230,78,1152
CASE_00541,70,10,4830,97,13.3,65,1230,97,1133
CASE_00565,50,10,2450,95,13.3,65,1230,95,1135
CASE_00577,77,9,5852,79,12.0,66,1230,79,1151
CASE_00625,28,6,756,36,8.0,69,1230,36,1194
CASE_00629,49,10,2352,97,13.3,65,1230,97,1133
CASE_00657,31,9,930,76,12.0,66,1230,76,1154
CASE_00668,174,11,30102,120,14.7,64,1230,120,1110
CASE_00671,50,7,2450,46,9.3,68,1230,46,1184
CASE_00672,184,15,33672,222,20.0,60,1230,222,1008
CASE_00693,30,7,870,48,9.3,68,1230,48,1182
CASE_00712,47,10,2162,95,13.3,65,1230,95,1135
CASE_00721,39,10,1482,97,13.3,65,1230,97,1133
CASE_00730,5,3,20,7,4.0,72,1230,7,1223
CASE_00775,16,7,240,44,9.3,68,1230,44,1186
CASE_00779,208,17,43056,283,22.7,58,1230,283,947
CASE_00801,12,3,132,9,4.0,72,1230,9,1221
CASE_00818,68,9,4556,79,12.0,66,1230,79,1151
CASE_00853,12,3,132,8,4.0,72,1230,8,1222
CASE_00856,12,3,132,8,4.0,72,1230,8,1222
CASE_00875,49,8,2256,63,10.7,67,1230,63,1167
CASE_00877,38,9,1406,79,12.0,66,1230,79,1151
NEG_00000,2,1,2,1,1.3,74,1230,1,1229
NEG_00001,6,5,30,21,6.7,70,1230,21,1209
NEG_00002,3,2,6,3,2.7,73,1230,3,1227
NEG_00003,4,2,12,3,2.7,73,1230,3,1227
NEG_00004,3,2,6,3,2.7,73,1230,3,1227
NEG_00005,3,3,6,6,4.0,72,1230,6,1224
NEG_00006,1,1,0,0,1.3,74,1230,0,1230
NEG_00007,5,2,20,3,2.7,73,1230,3,1227
NEG_00008,5,2,20,3,2.7,73,1230,3,1227
NEG_00009,5,2,20,3,2.7,73,1230,3,1227
NEG_00010,5,2,20,3,2.7,73,1230,3,1227
NEG_00011,5,2,20,3,2.7,73,1230,3,1227
NEG_00012,10,5,90,21,6.7,70,1230,21,1209
NEG_00013,2,2,2,2,2.7,73,1230,2,1228
NEG_00014,3,1,6,1,1.3,74,1230,1,1229
NEG_00015,3,1,6,1,1.3,74,1230,1,1229
NEG_00016,13,4,156,16,5.3,71,1230,16,1214
NEG_00017,4,2,12,4,2.7,73,1230,4,1226
NEG_00018,5,4,20,13,5.3,71,1230,13,1217
NEG_00019,1,1,0,0,1.3,74,1230,0,1230
NEG_00020,5,2,20,3,2.7,73,1230,3,1227
NEG_00021,1,1,0,0,1.3,74,1230,0,1230
NEG_00022,1,1,0,0,1.3,74,1230,0,1230
NEG_00023,1,1,0,0,1.3,74,1230,0,1230
NEG_00024,1,1,0,0,1.3,74,1230,0,1230
NEG_00025,4,2,12,4,2.7,73,1230,4,1226
NEG_00026,3,1,6,1,1.3,74,1230,1,1229
NEG_00027,3,1,6,1,1.3,74,1230,1,1229
NEG_00028,3,1,6,1,1.3,74,1230,1,1229
NEG_00029,1,1,0,0,1.3,74,1230,0,1230
NEG_00030,1,1,0,0,1.3,74,1230,0,1230
NEG_00031,1,1,0,0,1.3,74,1230,0,1230
NEG_00032,6,3,30,8,4.0,72,1230,8,1222
NEG_00033,1,1,0,0,1.3,74,1230,0,1230
NEG_00034,7,5,42,22,6.7,70,1230,22,1208
NEG_00035,1,1,0,0,1.3,74,1230,0,1230
NEG_00036,2,2,2,2,2.7,73,1230,2,1228
NEG_00037,3,3,6,6,4.0,72,1230,6,1224
NEG_00038,1,1,0,0,1.3,74,1230,0,1230
NEG_00039,3,3,6,6,4.0,72,1230,6,1224
NEG_00040,8,3,56,8,4.0,72,1230,8,1222
NEG_00041,1,1,0,0,1.3,74,1230,0,1230
NEG_00042,1,1,0,0,1.3,74,1230,0,1230
NEG_00043,2,2,2,2,2.7,73,1230,2,1228
NEG_00044,2,1,2,1,1.3,74,1230,1,1229
NEG_00045,8,5,56,23,6.7,70,1230,23,1207
NEG_00046,2,1,2,1,1.3,74,1230,1,1229
NEG_00047,2,2,2,2,2.7,73,1230,2,1228
NEG_00048,1,1,0,0,1.3,74,1230,0,1230
NEG_00049,1,1,0,0,1.3,74,1230,0,1230
NEG_00050,1,1,0,0,1.3,74,1230,0,1230
NEG_00051,4,2,12,3,2.7,73,1230,3,1227
NEG_00052,4,3,12,7,4.0,72,1230,7,1223
NEG_00053,4,3,12,7,4.0,72,1230,7,1223
NEG_00054,2,2,2,2,2.7,73,1230,2,1228
NEG_00055,6,2,30,4,2.7,73,1230,4,1226
NEG_00056,2,2,2,2,2.7,73,1230,2,1228
NEG_00057,1,1,0,0,1.3,74,1230,0,1230
NEG_00058,2,2,2,2,2.7,73,1230,2,1228
NEG_00059,1,1,0,0,1.3,74,1230,0,1230
NEG_00060,4,2,12,4,2.7,73,1230,4,1226
NEG_00061,3,2,6,3,2.7,73,1230,3,1227
NEG_00062,1,1,0,0,1.3,74,1230,0,1230
NEG_00063,1,1,0,0,1.3,74,1230,0,1230
NEG_00064,1,1,0,0,1.3,74,1230,0,1230
NEG_00065,3,1,6,1,1.3,74,1230,1,1229
NEG_00066,3,1,6,1,1.3,74,1230,1,1229
NEG_00067,4,2,12,4,2.7,73,1230,4,1226
NEG_00068,5,2,20,3,2.7,73,1230,3,1227
NEG_00069,6,3,30,7,4.0,72,1230,7,1223
NEG_00070,8,5,56,23,6.7,70,1230,23,1207
NEG_00071,6,2,30,4,2.7,73,1230,4,1226
NEG_00072,1,1,0,0,1.3,74,1230,0,1230
NEG_00073,3,1,6,1,1.3,74,1230,1,1229
NEG_00074,1,1,0,0,1.3,74,1230,0,1230
NEG_00075,1,1,0,0,1.3,74,1230,0,1230
NEG_00076,2,2,2,2,2.7,73,1230,2,1228
NEG_00077,3,2,6,3,2.7,73,1230,3,1227
NEG_00078,3,2,6,3,2.7,73,1230,3,1227
NEG_00079,1,1,0,0,1.3,74,1230,0,1230
NEG_00080,2,2,2,2,2.7,73,1230,2,1228
NEG_00081,1,1,0,0,1.3,74,1230,0,1230
NEG_00082,1,1,0,0,1.3,74,1230,0,1230
NEG_00083,3,2,6,3,2.7,73,1230,3,1227
NEG_00084,3,3,6,6,4.0,72,1230,6,1224
NEG_00085,3,2,6,3,2.7,73,1230,3,1227
NEG_00086,4,3,12,7,4.0,72,1230,7,1223
NEG_00087,3,2,6,3,2.7,73,1230,3,1227
NEG_00088,2,2,2,2,2.7,73,1230,2,1228
NEG_00089,3,3,6,6,4.0,72,1230,6,1224
NEG_00090,3,3,6,6,4.0,72,1230,6,1224
NEG_00091,2,2,2,2,2.7,73,1230,2,1228
NEG_00092,2,2,2,2,2.7,73,1230,2,1228
NEG_00093,3,2,6,3,2.7,73,1230,3,1227
NEG_00094,1,1,0,0,1.3,74,1230,0,1230
NEG_00095,5,3,20,8,4.0,72,1230,8,1222
NEG_00096,9,4,72,15,5.3,71,1230,15,1215
NEG_00097,4,2,12,4,2.7,73,1230,4,1226
NEG_00098,3,2,6,3,2.7,73,1230,3,1227
NEG_00099,3,3,6,6,4.0,72,1230,6,1224
NEG_00100,2,2,2,2,2.7,73,1230,2,1228
NEG_00101,1,1,0,0,1.3,74,1230,0,1230
