case_id,scenario,P(Murder),P(Manslaughter),P(Not Guilty),MAP_verdict,actual_verdict,correct,delta_P(Murder),delta_P(Manslaughter),delta_P(Not Guilty),counterfactual_shifted,p_murder_delta,p_murder_baseline
CASE_00802,FULL_EVIDENCE,0.7636485580147553,0.14232059020791418,0.09403085177733066,Murder,Murder,True,,,,,,
CASE_00450,FULL_EVIDENCE,0.7134690961057522,0.22472311539835657,0.06180778849589139,Murder,Manslaughter,False,,,,,,
CASE_00140,FULL_EVIDENCE,0.7636485580147553,0.14232059020791418,0.09403085177733066,Murder,Murder,True,,,,,,
CASE_00708,FULL_EVIDENCE,0.7636485580147553,0.14232059020791418,0.09403085177733066,Murder,Murder,True,,,,,,
CASE_00066,FULL_EVIDENCE,0.7374243372991025,0.15633479440617826,0.10624086829471925,Murder,Murder,True,,,,,,
CASE_00866,FULL_EVIDENCE,0.6097400460677855,0.14379730174399474,0.24646265218821983,Murder,Not_Guilty,False,,,,,,
CASE_00415,FULL_EVIDENCE,0.7636485580147553,0.14232059020791418,0.09403085177733066,Murder,Murder,True,,,,,,
CASE_00750,FULL_EVIDENCE,0.7241109808518953,0.058225869480265736,0.217663149667839,Murder,Murder,True,,,,,,
CASE_00467,FULL_EVIDENCE,0.7636485580147553,0.14232059020791418,0.09403085177733066,Murder,Murder,True,,,,,,
CASE_00317,FULL_EVIDENCE,0.591919191919192,0.20404040404040402,0.20404040404040402,Murder,Murder,True,,,,,,
CASE_00449,FULL_EVIDENCE,0.7412217412217412,0.2217412217412217,0.037037037037037035,Murder,Manslaughter,False,,,,,,
CASE_00067,FULL_EVIDENCE,0.7412217412217412,0.2217412217412217,0.037037037037037035,Murder,Murder,True,,,,,,
CASE_00663,FULL_EVIDENCE,0.7241109808518953,0.058225869480265736,0.217663149667839,Murder,Murder,True,,,,,,
CASE_00887,FULL_EVIDENCE,0.7374243372991025,0.15633479440617826,0.10624086829471925,Murder,Murder,True,,,,,,
CASE_00501,FULL_EVIDENCE,0.7374243372991025,0.15633479440617826,0.10624086829471925,Murder,Murder,True,,,,,,
CASE_00957,FULL_EVIDENCE,0.7412217412217412,0.2217412217412217,0.037037037037037035,Murder,Murder,True,,,,,,
CASE_00076,FULL_EVIDENCE,0.7412217412217412,0.2217412217412217,0.037037037037037035,Murder,Murder,True,,,,,,
CASE_00443,FULL_EVIDENCE,0.7412217412217412,0.2217412217412217,0.037037037037037035,Murder,Manslaughter,False,,,,,,
CASE_00544,FULL_EVIDENCE,0.6097400460677855,0.14379730174399474,0.24646265218821983,Murder,Not_Guilty,False,,,,,,
CASE_00888,FULL_EVIDENCE,0.6097400460677855,0.14379730174399474,0.24646265218821983,Murder,Murder,True,,,,,,
CASE_00802,PARTIAL_EVIDENCE_NO_CAUSATION,0.7540523043306303,0.12190977266403573,0.12403792300533395,Murder,Murder,True,-0.009596253684124978,-0.020410817543878454,0.030007071228003293,,,
CASE_00450,PARTIAL_EVIDENCE_NO_CAUSATION,0.7359630533561016,0.21436172564130584,0.04967522100259268,Murder,Manslaughter,False,0.022493957250349417,-0.010361389757050726,-0.012132567493298711,,,
CASE_00140,PARTIAL_EVIDENCE_NO_CAUSATION,0.7540523043306303,0.12190977266403573,0.12403792300533395,Murder,Murder,True,-0.009596253684124978,-0.020410817543878454,0.030007071228003293,,,
CASE_00708,PARTIAL_EVIDENCE_NO_CAUSATION,0.7540523043306303,0.12190977266403573,0.12403792300533395,Murder,Murder,True,-0.009596253684124978,-0.020410817543878454,0.030007071228003293,,,
CASE_00066,PARTIAL_EVIDENCE_NO_CAUSATION,0.7064337977147904,0.15329179155211908,0.14027441073309038,Murder,Murder,True,-0.030990539584312082,-0.0030430028540591736,0.03403354243837113,,,
CASE_00866,PARTIAL_EVIDENCE_NO_CAUSATION,0.6704156095076663,0.14975511710299777,0.17982927338933585,Murder,Not_Guilty,False,0.060675563439880786,0.005957815359003027,-0.06663337879888398,,,
CASE_00415,PARTIAL_EVIDENCE_NO_CAUSATION,0.7540523043306303,0.12190977266403573,0.12403792300533395,Murder,Murder,True,-0.009596253684124978,-0.020410817543878454,0.030007071228003293,,,
CASE_00750,PARTIAL_EVIDENCE_NO_CAUSATION,0.7540523043306303,0.12190977266403573,0.12403792300533395,Murder,Murder,True,0.029941323478735016,0.06368390318376999,-0.09362522666250506,,,
CASE_00467,PARTIAL_EVIDENCE_NO_CAUSATION,0.7540523043306303,0.12190977266403573,0.12403792300533395,Murder,Murder,True,-0.009596253684124978,-0.020410817543878454,0.030007071228003293,,,
CASE_00317,PARTIAL_EVIDENCE_NO_CAUSATION,0.7049841859235959,0.21744501673164776,0.07757079734475629,Murder,Murder,True,0.11306499400440395,0.013404612691243739,-0.12646960669564772,,,
CASE_00449,PARTIAL_EVIDENCE_NO_CAUSATION,0.7049841859235959,0.21744501673164776,0.07757079734475629,Murder,Manslaughter,False,-0.03623755529814532,-0.00429620500957395,0.040533760307719255,,,
CASE_00067,PARTIAL_EVIDENCE_NO_CAUSATION,0.7049841859235959,0.21744501673164776,0.07757079734475629,Murder,Murder,True,-0.03623755529814532,-0.00429620500957395,0.040533760307719255,,,
CASE_00663,PARTIAL_EVIDENCE_NO_CAUSATION,0.7540523043306303,0.12190977266403573,0.12403792300533395,Murder,Murder,True,0.029941323478735016,0.06368390318376999,-0.09362522666250506,,,
CASE_00887,PARTIAL_EVIDENCE_NO_CAUSATION,0.7064337977147904,0.15329179155211908,0.14027441073309038,Murder,Murder,True,-0.030990539584312082,-0.0030430028540591736,0.03403354243837113,,,
CASE_00501,PARTIAL_EVIDENCE_NO_CAUSATION,0.7036566075384145,0.1530190955053147,0.14332429695627077,Murder,Murder,True,-0.03376772976068798,-0.0033156989008635562,0.037083428661551524,,,
CASE_00957,PARTIAL_EVIDENCE_NO_CAUSATION,0.7049841859235959,0.21744501673164776,0.07757079734475629,Murder,Murder,True,-0.03623755529814532,-0.00429620500957395,0.040533760307719255,,,
CASE_00076,PARTIAL_EVIDENCE_NO_CAUSATION,0.7049841859235959,0.21744501673164776,0.07757079734475629,Murder,Murder,True,-0.03623755529814532,-0.00429620500957395,0.040533760307719255,,,
CASE_00443,PARTIAL_EVIDENCE_NO_CAUSATION,0.7049841859235959,0.21744501673164776,0.07757079734475629,Murder,Manslaughter,False,-0.03623755529814532,-0.00429620500957395,0.040533760307719255,,,
CASE_00544,PARTIAL_EVIDENCE_NO_CAUSATION,0.6704156095076663,0.14975511710299777,0.17982927338933585,Murder,Not_Guilty,False,0.060675563439880786,0.005957815359003027,-0.06663337879888398,,,
CASE_00888,PARTIAL_EVIDENCE_NO_CAUSATION,0.7036566075384145,0.1530190955053147,0.14332429695627077,Murder,Murder,True,0.09391656147062899,0.009221793761319957,-0.10313835523194906,,,
CASE_00689,COUNTERFACTUAL_BASELINE,0.7520162104936026,0.14853690813911974,0.09944688136727772,Murder,Murder,True,,,,,,
CASE_00689,COUNTERFACTUAL_NO_INTENT,0.7520162104936026,0.14853690813911974,0.09944688136727772,Murder,Murder,True,,,,False,0.0,0.7520162104936026
CASE_00689,COUNTERFACTUAL_NO_INTENT_STRONG,0.7248732245670582,0.13046602549289038,0.1446607499400514,Murder,Murder,True,,,,False,0.0,0.7248732245670582
CASE_00529,COUNTERFACTUAL_BASELINE,0.7111211617447861,0.19179493683520657,0.09708390142000732,Murder,Murder,True,,,,,,
CASE_00529,COUNTERFACTUAL_NO_INTENT,0.7111211617447861,0.19179493683520657,0.09708390142000732,Murder,Murder,True,,,,False,0.0,0.7111211617447861
CASE_00529,COUNTERFACTUAL_NO_INTENT_STRONG,0.7207198537477869,0.21249122738098505,0.06678891887122804,Murder,Murder,True,,,,False,0.0,0.7207198537477869
CASE_00287,COUNTERFACTUAL_BASELINE,0.7523359102225282,0.14836606083990436,0.09929802893756721,Murder,Murder,True,,,,,,
CASE_00287,COUNTERFACTUAL_NO_INTENT,0.7520162104936026,0.14853690813911974,0.09944688136727772,Murder,Murder,True,,,,True,-0.0003196997289256487,0.7523359102225282
CASE_00287,COUNTERFACTUAL_NO_INTENT_STRONG,0.7458080223196165,0.14440370627837312,0.10978827140201046,Murder,Murder,True,,,,True,-0.0004045363693663262,0.7462125586889828
CASE_00338,COUNTERFACTUAL_BASELINE,0.7255742562281705,0.22342247180071817,0.05100327197111131,Murder,Murder,True,,,,,,
CASE_00338,COUNTERFACTUAL_NO_INTENT,0.7257794109143716,0.22340042887634262,0.050820160209285876,Murder,Murder,True,,,,False,0.00020515468620108113,0.7255742562281705
CASE_00338,COUNTERFACTUAL_NO_INTENT_STRONG,0.7246221807167726,0.22090525845204237,0.05447256083118492,Murder,Murder,True,,,,False,6.393532736514995e-05,0.7245582453894075
CASE_00602,COUNTERFACTUAL_BASELINE,0.7257794109143716,0.22340042887634262,0.050820160209285876,Murder,Murder,True,,,,,,
CASE_00602,COUNTERFACTUAL_NO_INTENT,0.7257794109143716,0.22340042887634262,0.050820160209285876,Murder,Murder,True,,,,False,0.0,0.7257794109143716
CASE_00602,COUNTERFACTUAL_NO_INTENT_STRONG,0.7207198537477869,0.21249122738098505,0.06678891887122804,Murder,Murder,True,,,,False,0.0,0.7207198537477869
CASE_00600,COUNTERFACTUAL_BASELINE,0.7257794109143716,0.22340042887634262,0.050820160209285876,Murder,Murder,True,,,,,,
CASE_00600,COUNTERFACTUAL_NO_INTENT,0.7257794109143716,0.22340042887634262,0.050820160209285876,Murder,Murder,True,,,,False,0.0,0.7257794109143716
CASE_00600,COUNTERFACTUAL_NO_INTENT_STRONG,0.7207198537477869,0.21249122738098505,0.06678891887122804,Murder,Murder,True,,,,False,0.0,0.7207198537477869
CASE_00305,COUNTERFACTUAL_BASELINE,0.7520162104936026,0.14853690813911974,0.09944688136727772,Murder,Murder,True,,,,,,
CASE_00305,COUNTERFACTUAL_NO_INTENT,0.7520162104936026,0.14853690813911974,0.09944688136727772,Murder,Murder,True,,,,False,0.0,0.7520162104936026
CASE_00305,COUNTERFACTUAL_NO_INTENT_STRONG,0.7468981788953445,0.14512949568117903,0.10797232542347648,Murder,Murder,True,,,,False,0.0,0.7468981788953445
CASE_00293,COUNTERFACTUAL_BASELINE,0.6733791602897782,0.096183017902996,0.23043782180722586,Murder,Murder,True,,,,,,
CASE_00293,COUNTERFACTUAL_NO_INTENT,0.6733791602897782,0.096183017902996,0.23043782180722586,Murder,Murder,True,,,,False,0.0,0.6733791602897782
CASE_00293,COUNTERFACTUAL_NO_INTENT_STRONG,0.7248732245670582,0.13046602549289038,0.1446607499400514,Murder,Murder,True,,,,False,0.0,0.7248732245670582
CASE_00108,COUNTERFACTUAL_BASELINE,0.6733791602897782,0.096183017902996,0.23043782180722586,Murder,Murder,True,,,,,,
CASE_00108,COUNTERFACTUAL_NO_INTENT,0.6733791602897782,0.096183017902996,0.23043782180722586,Murder,Murder,True,,,,False,0.0,0.6733791602897782
CASE_00108,COUNTERFACTUAL_NO_INTENT_STRONG,0.7248732245670582,0.13046602549289038,0.1446607499400514,Murder,Murder,True,,,,False,0.0,0.7248732245670582
CASE_00604,COUNTERFACTUAL_BASELINE,0.7520162104936026,0.14853690813911974,0.09944688136727772,Murder,Murder,True,,,,,,
CASE_00604,COUNTERFACTUAL_NO_INTENT,0.7520162104936026,0.14853690813911974,0.09944688136727772,Murder,Murder,True,,,,False,0.0,0.7520162104936026
CASE_00604,COUNTERFACTUAL_NO_INTENT_STRONG,0.7248732245670582,0.13046602549289038,0.1446607499400514,Murder,Murder,True,,,,False,0.0,0.7248732245670582
